CFHT    0230    02 27 53 +00 35 00
CFHT    0438    04 38 40 -01 30 00
CFHT    0749    07 49 55 +10 09 00
CFHT    0848    08 48 30 +44 15 00
CFHT    1052    10 52 20 +57 20 00
Subaru  0230E   02 28 46 +00 35 00
Subaru  0230W   02 27 00 +00 35 00
Subaru  0438E   04 39 33 -01 30 00
Subaru  0438W   04 37 47 -01 30 00
Subaru  0749E   07 50 48 +10 09 00
Subaru  0749W   07 49 02 +10 09 00
Subaru  0848E   08 49 43 +44 15 00
Subaru  0848W   08 47 17 +44 15 00
Subaru  1052N   10 52 20 +57 33 09
Subaru  1052S   10 52 20 +57 06 51
